Electrode,TrialType,FreqBand,TimePoint,Power
13,NSFT,thetaBand,Tele,2760.2757
13,NSFT,alphaBand,Tele,72.6764
13,NSFT,betaBand,Tele,2.945
13,NSFT,gammaBand,Tele,0.004033
14,NSFT,deltaBand,Tele,27489117.0256
14,NSFT,thetaBand,Tele,9249.4117
14,NSFT,alphaBand,Tele,155.2075
14,NSFT,betaBand,Tele,10.3616
14,NSFT,gammaBand,Tele,0.025823
15,NSFT,deltaBand,Tele,16720601.2918
15,NSFT,thetaBand,Tele,6312.3484
15,NSFT,alphaBand,Tele,106.5882
15,NSFT,betaBand,Tele,11.7297
15,NSFT,gammaBand,Tele,0.045281
16,NSFT,deltaBand,Tele,11240192.2443
16,NSFT,thetaBand,Tele,5120.5303
16,NSFT,alphaBand,Tele,166.6432
16,NSFT,betaBand,Tele,11.3205
16,NSFT,gammaBand,Tele,0.013091
6,NSFT,deltaBand,Post,21861161.0684
6,NSFT,thetaBand,Post,19591.8395
6,NSFT,alphaBand,Post,517.3175
6,NSFT,betaBand,Post,42.9335
6,NSFT,gammaBand,Post,0.024862
7,NSFT,deltaBand,Post,9676760.6287
7,NSFT,thetaBand,Post,6865.614
7,NSFT,alphaBand,Post,242.6977
7,NSFT,betaBand,Post,15.3926
7,NSFT,gammaBand,Post,0.013035
8,NSFT,deltaBand,Post,20538535.0448
8,NSFT,thetaBand,Post,10567.449
8,NSFT,alphaBand,Post,744.1806
8,NSFT,betaBand,Post,24.4503
8,NSFT,gammaBand,Post,0.01616
9,NSFT,deltaBand,Post,21196743.0012
9,NSFT,thetaBand,Post,11354.0589
9,NSFT,alphaBand,Post,638.2551
9,NSFT,betaBand,Post,32.9819
9,NSFT,gammaBand,Post,0.018838
10,NSFT,deltaBand,Post,6525551.7441
10,NSFT,thetaBand,Post,4358.2087
10,NSFT,alphaBand,Post,88.1253
10,NSFT,betaBand,Post,4.7875
10,NSFT,gammaBand,Post,0.0056221
11,NSFT,deltaBand,Post,11505261.6314
11,NSFT,thetaBand,Post,20081.6057
11,NSFT,alphaBand,Post,891.2351
11,NSFT,betaBand,Post,62.3359
11,NSFT,gammaBand,Post,0.047287
12,NSFT,deltaBand,Post,6255071.9064
12,NSFT,thetaBand,Post,7213.7661
12,NSFT,alphaBand,Post,394.7658
12,NSFT,betaBand,Post,33.2768
12,NSFT,gammaBand,Post,0.029931
13,NSFT,deltaBand,Post,3265667.561
13,NSFT,thetaBand,Post,2335.6694
13,NSFT,alphaBand,Post,85.2261
13,NSFT,betaBand,Post,6.0285
13,NSFT,gammaBand,Post,0.0057039
14,NSFT,deltaBand,Post,17411570.2746
14,NSFT,thetaBand,Post,20863.5198
14,NSFT,alphaBand,Post,336.4628
14,NSFT,betaBand,Post,26.1977
14,NSFT,gammaBand,Post,0.047179
15,NSFT,deltaBand,Post,9323462.5402
15,NSFT,thetaBand,Post,18200.9432
15,NSFT,alphaBand,Post,332.676
15,NSFT,betaBand,Post,36.154
15,NSFT,gammaBand,Post,0.035804
16,NSFT,deltaBand,Post,5973014.5136
